key,name,lat,lng,strings
PP-dfb2550600000000,Bonchon (The Mall Lifestore Ngamwongwan),13.855816841125488,100.54230499267578,Bonchon (The Mall Lifestore Ngamwongwan) | งามวงศ์วานทางขนาน | 30/39 | อ.เมืองนนทบุรี | ต.บางเขน | จ.นนทบุรี | อ.เมืองนนทบุรี | 11000 | TH | Thailand
PP-03504a0000000000,Bulunburi Pai Resort,19.379535675048828,98.44207763671875,Bulunburi Pai Resort | TH | Thailand
PP-53d2d90000000000,Chiang Mai Ram Hospital,18.794937133789062,98.97765350341797,Chiang Mai Ram Hospital | TH | Thailand
PP-8c78de0500000000,Rich Mellow,18.797086715698242,98.9662857055664,Rich Mellow | Nimman Hemin Road | 24/12 | Mueang Chiang Mai District | Suthep | Chiang Mai | Mueang Chiang Mai District | 50200 | TH | Thailand
PP-11cddd0500000000,Chiang Mai Sauna Ice Bath Eudemonia,18.736690521240234,98.90095520019531,Chiang Mai Sauna Ice Bath Eudemonia | National Highway 1269 | 159–171 | Hang Dong District | Nong Khwai | Chiang Mai | Hang Dong District | 50230 | TH | Thailand
PP-950d340400000000,ต้นสนคาเฟ่,18.809349060058594,98.9581298828125,ต้นสนคาเฟ่ | ถนนห้วยแก้ว | 105 | อ.เมืองเชียงใหม่ | ต.ช้างเผือก | จ.เชียงใหม่ | อ.เมืองเชียงใหม่ | 50300 | TH | Thailand
PP-a47f4c0400000000,Snooze Massage CNX สนูซนวดเพื่อสุขภาพเชียงใหม่,18.805965423583984,98.95843505859375,Snooze Massage CNX สนูซนวดเพื่อสุขภาพเชียงใหม่ | Huai Kaeo Road | 231 | Mueang Chiang Mai District | Suthep | Chiang Mai | Mueang Chiang Mai District | 50200 | TH | Thailand
PP-94be2f0200000000,ข้าวขาหมู แม่เพ็ญ by. Jirapar,18.801973342895508,98.98260498046875,ข้าวขาหมู แม่เพ็ญ by. Jirapar | ซอยหัสดิเสวี 2 | 758/1 | อ.เมืองเชียงใหม่ | ต.ช้างเผือก | จ.เชียงใหม่ | อ.เมืองเชียงใหม่ | 50300 | TH | Thailand
PP-8581780000000000,Go Inn Silom BTS St Louis / Surawak,13.722622871398926,100.5240478515625,Go Inn Silom BTS St Louis / Surawak | ถนนปั้น | กรุงเทพมหานคร | 10500 | TH | Thailand
PP-f8d5510400000000,The Coco Club,18.80909538269043,98.96603393554688,The Coco Club | Soi Chet Yot Yu Yen 2 | 29/88 | Mueang Chiang Mai District | Chang Phueak | Chiang Mai | Mueang Chiang Mai District | 50300 | TH | Thailand
PP-812e230400000000,Premier Lounge - Central Festival Chiang Mai,18.809167861938477,99.01814270019531,Premier Lounge - Central Festival Chiang Mai | Mueang Chiang Mai District | Fa Ham | Chiang Mai | Mueang Chiang Mai District | 50000 | TH | Thailand
PP-bcc37b0200000000,Lung Pud Pa Peng Coffee House,18.86507225036621,99.35003662109375,Lung Pud Pa Peng Coffee House | Moo 3 | 77/1 | Mae On District | Huai Kaeo | Chiang Mai | Mae On District | 50130 | TH | Thailand
PP-3f76150200000000,I LOVE COFFEE ศูนย์อาหาร CMU,18.79950714111328,98.95161437988281,I LOVE COFFEE ศูนย์อาหาร CMU | ถนนพิษณุโลก 6 | อ.เมืองเชียงใหม่ | ต.สุเทพ | จ.เชียงใหม่ | อ.เมืองเชียงใหม่ | 50200 | TH | Thailand
PP-f6c6420000000000,หอพระแก้ว วัดผาลาด,18.79931640625,98.93415832519531,หอพระแก้ว วัดผาลาด | TH | Thailand
PP-ced7c00200000000,Firefly Factory,18.802045822143555,98.98432159423828,Firefly Factory | ถนน ช้างเผือก | 177  | อำเภอเมืองเชียงใหม่ | ตำบลช้างเผือก | จ.เชียงใหม่ | อำเภอเมืองเชียงใหม่ | 50300 | TH | Thailand
CP-b8be052e944e0100-1770618515231,Joy elephant,18.63265023041606,98.63292985701992,Joy elephant
PP-c2a38d0200000000,Choei,18.779054641723633,98.99971008300781,Choei | Chang Khlan Road | 187/24 | Mueang Chiang Mai District | Chang Khlan | Chiang Mai | Mueang Chiang Mai District | 50100 | TH | Thailand
PP-d299280100000000,MAYA,18.802383422851562,98.96727752685547,MAYA | Huay Kaew Rd. | 55 Moo 5 | Mueang Chiang Mai | Chang Phueak | Chiang Mai | Mueang Chiang Mai | 50300 | TH | Thailand
PP-83b5c60200000000,Wikunpanich Salapo,18.786941528320312,99.00804901123047,Wikunpanich Salapo | Charoen Mueang Road | 138 | Mueang Chiang Mai District | Wat Ket | Chiang Mai | Mueang Chiang Mai District | 50000 | TH | Thailand
PP-ce1be50200000000,bays coffee co.,18.80604362487793,98.96145629882812,bays coffee co. | Soi Suk Chai 2 | 171 | Mueang Chiang Mai District | Chang Phueak | Chiang Mai | Mueang Chiang Mai District | 50300 | TH | Thailand
PP-90a04e0600000000,Child’s Dream Foundation,18.77178192138672,98.97864532470703,Child’s Dream Foundation | Thipphanet Road | 238 | Mueang Chiang Mai District | Hai Ya | Chiang Mai | Mueang Chiang Mai District | 50100 | TH | Thailand
PP-e3dac80000000000,Chiang Mai International Airport,18.768997192382812,98.96812438964844,Chiang Mai International Airport | ถนนสนามบิน | 60 | จังหวัดเชียงใหม่ | สุเทพ | 50100 | TH | Thailand
PP-cccbe50100000000,AKA Yakiniku Central Chiangmai,18.807296752929688,99.01773834228516,AKA Yakiniku Central Chiangmai | อ.เมืองเชียงใหม่ | ต.ฟ้าฮ่าม | จ.เชียงใหม่ | อ.เมืองเชียงใหม่ | 50000 | TH | Thailand
PP-2fc9b00400000000,บ้านชา ลาเปา,18.80771827697754,98.96959686279297,บ้านชา ลาเปา | ซอยเจ็ดยอด-ช่างเคี่ยน 3 | 45/2 | อ.เมืองเชียงใหม่ | ต.ช้างเผือก | จ.เชียงใหม่ | อ.เมืองเชียงใหม่ | 50300 | TH | Thailand
PP-a3337e0000000000,Myst,18.802202224731445,98.9668960571289,Myst | ถนนห้วยแก้ว | จังหวัดเชียงใหม่ | เทศบาลนครเชียงใหม่ | 50030 | TH | Thailand
PP-5785270000000000,Marisa Resort & Spa Chiang Dao,19.448150634765625,98.97560119628906,Marisa Resort & Spa Chiang Dao | T.Muang Ngai | 304 Moo 4 | Chiang Dao | 50170 | TH | Thailand
PP-2c56150100000000,Healthy Junk,18.798765182495117,98.96755981445312,Healthy Junk | ซอย นิมมานเหมินท์ 5 | 5/5 | อ.เมืองเชียงใหม่ | สุเทพ | จ.เชียงใหม่ | อ.เมืองเชียงใหม่ | 50200 | TH | Thailand
PP-b3c5930300000000,Praise Cafe,18.78713035583496,99.0071792602539,Praise Cafe | Charoen Mueang Road | 61 | Mueang Chiang Mai District | Wat Ket | Chiang Mai | Mueang Chiang Mai District | 50000 | TH | Thailand
PP-df8d710200000000,Egyptian Kings Restaurant,18.78337860107422,99.00334930419922,Egyptian Kings Restaurant | Charoen Prathet Road | 93/1 | Mueang Chiang Mai District | Chang Khlan | Chiang Mai | Mueang Chiang Mai District | 50100 | TH | Thailand
PP-d283c10100000000,Pai Siam Bar and Bistro,19.358882904052734,98.44473266601562,Pai Siam Bar and Bistro | Rangsiyanon Road | 93/10 | Pai District | Wiang Tai | Mae Hong Son | Pai District | 58130 | TH | Thailand
PP-e809850300000000,Much Room Cafe,18.761716842651367,98.98917388916016,Much Room Cafe | Soi Ban Pa Phrao Nok 3 | Mueang Chiang Mai District | Pa Daet | Chiang Mai | Mueang Chiang Mai District | 50100 | TH | Thailand
PP-47206e0400000000,Finn Crêpe Chiang Mai,18.80755615234375,98.95658111572266,Finn Crêpe Chiang Mai | Muban Rin | 99/10 | Mueang Chiang Mai District | Chang Phueak | Chiang Mai | Mueang Chiang Mai District | 50300 | TH | Thailand
PP-f968300200000000,Lounge by Warm Up Café,18.795167922973633,98.96532440185547,Lounge by Warm Up Café | ซอยนิมมานเหมินท์ 5 | 40 | อ.เมืองเชียงใหม่ | ต.สุเทพ | จ.เชียงใหม่ | อ.เมืองเชียงใหม่ | 50200 | TH | Thailand
PP-d84baa0000000000,Site of 2024 Chiang Mai Flower Festival,18.833786010742188,98.96617889404297,Site of 2024 Chiang Mai Flower Festival | TH | Thailand
PP-ceffd50200000000,ขนมปลาทองบุงปัง,18.788240432739258,98.98645782470703,ขนมปลาทองบุงปัง | Ratchadamnoen Road | 145/6 | Mueang Chiang Mai District | Phra Sing | Chiang Mai | Mueang Chiang Mai District | 50200 | TH | Thailand
PP-61c3ad0300000000,Chiang Mai Immigration Office,18.771251678466797,98.97129821777344,Chiang Mai Immigration Office | Sanambin Road | 71 Moo 3 | Mueang Chiang Mai | Suthep | Chiang Mai | Mueang Chiang Mai | 50200 | TH | Thailand
PP-fd826f0000000000,Rotniyom,18.764291763305664,98.93669128417969,Rotniyom | TH | Thailand
PP-ae4f8a0100000000,ทุเรียนทอดเชียงใหม่ (ถนนคนเดินท่าแพ),18.788349151611328,98.98793029785156,ทุเรียนทอดเชียงใหม่ (ถนนคนเดินท่าแพ) | Phra Pokklao Road | 109 | Mueang Chiang Mai District | Si Phum | Chiang Mai | Mueang Chiang Mai District | 50200 | TH | Thailand
PP-d8a2280400000000,แวะเต๊อะ ม่อนผาโค้ง,18.895299911499023,98.8389663696289,แวะเต๊อะ ม่อนผาโค้ง | ทางหลวงแผ่นดินหมายเลข 1096 | 106 | อ.แม่ริม | ต.โป่งแยง | จ.เชียงใหม่ | อ.แม่ริม | 50180 | TH | Thailand
PP-4e1d6f0600000000,Suvarnabhumi Airport,13.690913200378418,100.75421142578125,Suvarnabhumi Airport | 999 Moo 1 | Bang Phli | ตำบลหนองปรือ | Samut Prakan | อำเภอบางพลี | 10540 | TH | Thailand
PP-b270dc0100000000,The Old City Spa,18.789533615112305,98.98395538330078,The Old City Spa | Inthawarorot Road | 69 | Mueang Chiang Mai District | Si Phum | Chiang Mai | Mueang Chiang Mai District | 50200 | TH | Thailand
PP-22661d0400000000,Wailai,18.866750717163086,99.35438537597656,Wailai | Moo 3 | 39 | Mae On District | Huai Kaeo | Chiang Mai | Mae On District | 50130 | TH | Thailand
